Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-13600432.2088,-11234345.9065,-7049544.0198,-4144410.4575,418305139.1151,307473399.3000,573549874.3369,296956286.9672,545069063.2468,374496590.1151,347394769.8202,351202265.5253,826609520.5205,525319394.3303,269883409.4492,142068797.5693,247721072.0581,164674602.8012,66439142.9599,101999702.2113,-33775932.0554,-727121.5065,-32464316.0431,85473.4741,-14077403.7903,-16780691.6851,71708397.3235,38338763.6455
0.0020,-13246159.8339,-11410444.6748,-7111115.3434,-4301777.1925,401829561.0913,277460153.9859,551633207.6321,299768229.4199,508662774.6502,370298030.4850,342683096.8354,340621415.2480,775689928.3956,511934378.3246,271288165.2996,147815347.2861,230650119.7288,159507258.8873,63727980.8371,94280184.0191,-35640059.8526,-865277.0455,-33683248.8190,33254.6040,-11797461.2770,-12810437.1484,70608299.6780,40149768.8645
0.0039,-12908842.5267,-11329968.3651,-7007015.9594,-4510646.8588,390257589.2923,247916916.9701,532070651.5122,299124744.3306,477979073.3735,364328537.7592,340332740.6997,329644014.5499,735953890.4656,492500414.2751,261930643.5551,157361747.6851,216283026.1391,154195522.4025,63199581.3337,87316913.3269,-37852551.9593,-933486.4106,-35515952.3962,-8409.1262,-10266013.3448,-8861562.9396,69740056.3211,41459067.6614
0.0059,-12501024.6303,-11080981.3934,-6807364.2836,-4664055.1775,376735339.7050,224555816.0629,514315353.1172,294123091.1877,449684576.7581,356009135.4474,337717280.4019,317221000.7386,695080188.4620,467878226.1999,243550638.6863,163280513.9874,202220950.6800,148293513.1895,63875900.4801,80723235.0231,-39221464.3102,-941048.1826,-36597316.5369,-25796.7580,-8649576.7106,-5491873.4474,68717306.8186,42234779.6193
0.0078,-11958246.4218,-10767366.9220,-6568892.6004,-4683706.6617,357138160.5539,208957691.1365,498500195.5249,285194647.9590,421301367.8939,345789287.2685,332329406.6787,304332850.7282,648027171.8879,442766632.6019,221924214.5073,161633031.2605,187105727.6408,142142055.0275,64259143.7353,74907839.9689,-39442096.8424,-918146.8651,-36562381.4933,-1771.9426,-6570710.2391,-2944377.7266,67455579.3533,42363950.9854
0.0098,-11280822.1119,-10460430.7233,-6304705.7987,-4542402.5831,332916345.5702,199964765.6838,484321434.2517,274322160.7131,392216404.5533,334736122.0840,323166038.5271,292240808.7252,598992754.5852,423192742.9164,203471905.2799,153393882.8580,171225483.2599,136522492.7954,63296478.6612,70246152.0019,-38668815.3361,-919844.9285,-35602843.8866,36333.3246,-4265768.2914,-1262685.1866,65910156.5679,41877838.3932
0.0117,-10504532.7070,-10162530.4360,-5977403.4016,-4270244.2123,309227144.8116,194668651.6204,469092152.6757,265479999.3971,362828910.6460,323569296.1981,311697336.0307,280713728.4393,553188503.1834,410928426.8913,189496911.2278,142410768.2298,155700755.3205,131650261.1085,61415743.9124,66474588.3457,-37233023.4820,-996359.5669,-34102362.5708,21781.1574,-2453677.5255,-368543.3116,63806540.0038,41184658.6742
0.0137,-9675356.0610,-9862384.5740,-5597477.8321,-3922679.6439,289525396.5564,189673748.4186,451814236.5981,259142552.2666,333916481.9425,311876105.3489,299335554.9412,268095846.5206,510859328.9524,402167251.0735,177650276.7072,129437808.9778,141204350.3751,127005988.9578,59143214.0119,63246950.3984,-35484776.8772,-1160124.4981,-32372477.7725,-96231.1948,-1567748.6035,-97779.2488,61276413.7603,40470121.2665
0.0156,-8820767.6432,-9536423.0427,-5185867.8114,-3561181.4256,272970005.3531,182284220.3417,430950600.2113,252891278.1027,304743946.1783,298465791.4238,286507300.8134,252474031.5453,466547628.0753,389251736.1092,161661912.6060,112315252.3080,127226859.6688,121531944.4579,57027042.0878,60357420.2642,-33718148.7085,-1353499.1523,-30581456.3633,-284647.7381,-1566433.5085,-254102.7738,58463149.3904,39667237.9212
0.0176,-7971022.9870,-9168932.3380,-4785867.6260,-3222291.1803,255851255.9816,171616974.4781,405781632.0006,242927475.9295,275054853.4475,282265110.5677,272737552.7031,233130009.9295,416448280.1177,366942681.4373,138844733.7997,88934396.2758,113285040.1197,114539344.1703,55037292.7717,57882356.5620,-32075271.0878,-1460961.2996,-28739933.1189,-428451.7736,-1956924.2811,-607644.8075,55528413.8429,38418012.3225
