Time,Speed,Brake,Gyro_Y,Gyro_X,Acc_Y_FM,Gyro_Z,Acc_X_FM,Acc_Z_FM,Acc_Z_Whl_LF,Acc_Y_Whl_LF,Acc_X_Whl_LF,Acc_Z_Whl_RF,Acc_Y_Whl_RF,Acc_X_Whl_RF,Acc_Y_Whl_LR,Acc_X_Whl_LR,Acc_Z_Whl_LR,Acc_Y_Whl_RR,Acc_X_Whl_RR,Acc_Z_Whl_RR,Acc_X_RM,Acc_Y_RM,Acc_Z_RM
0.0000,0.0000,0.0000,-0.1300,-0.0120,-0.0170,0.0040,0.0200,0.9990,0.9933,-0.1040,-0.0627,0.9920,0.0680,-0.0867,-0.0453,0.1293,0.9907,-0.0107,0.0973,1.0080,-0.0440,-0.0160,1.0027
0.0020,0.0000,0.0000,-0.1210,-0.0300,-0.0140,0.0340,0.0180,1.0020,0.9933,-0.1027,-0.0627,0.9920,0.0693,-0.0867,-0.0453,0.1293,0.9907,-0.0107,0.0973,1.0080,-0.0453,-0.0160,1.0000
0.0039,0.0000,0.0000,-0.0710,-0.0420,-0.0170,0.0430,0.0180,0.9980,0.9933,-0.1013,-0.0627,0.9933,0.0693,-0.0867,-0.0467,0.1280,0.9920,-0.0107,0.0973,1.0093,-0.0453,-0.0160,0.9987
0.0059,0.0000,0.0000,-0.1320,0.0460,-0.0170,0.0160,0.0170,0.9970,0.9907,-0.1027,-0.0627,0.9933,0.0693,-0.0867,-0.0467,0.1280,0.9920,-0.0093,0.0973,1.0093,-0.0453,-0.0160,0.9987
0.0078,0.0000,0.0000,-0.2090,0.0310,-0.0150,0.0430,0.0190,0.9990,0.9893,-0.1027,-0.0640,0.9933,0.0693,-0.0853,-0.0467,0.1280,0.9933,-0.0093,0.0960,1.0080,-0.0453,-0.0147,0.9987
0.0098,0.0000,0.0000,-0.0670,0.0660,-0.0200,0.0050,0.0170,1.0010,0.9880,-0.1040,-0.0640,0.9933,0.0680,-0.0853,-0.0467,0.1280,0.9933,-0.0093,0.0973,1.0080,-0.0453,-0.0147,0.9987
0.0117,0.0000,0.0000,-0.1270,-0.0230,-0.0190,0.0000,0.0190,0.9990,0.9893,-0.1040,-0.0640,0.9933,0.0667,-0.0853,-0.0453,0.1280,0.9933,-0.0093,0.0973,1.0080,-0.0440,-0.0147,0.9987
0.0137,0.0000,0.0000,-0.1470,0.0210,-0.0160,0.1020,0.0190,0.9980,0.9907,-0.1040,-0.0640,0.9920,0.0653,-0.0867,-0.0453,0.1293,0.9933,-0.0093,0.0973,1.0093,-0.0440,-0.0147,0.9973
0.0156,0.0000,0.0000,-0.1300,0.0880,-0.0180,0.0300,0.0210,1.0020,0.9920,-0.1040,-0.0627,0.9920,0.0653,-0.0880,-0.0440,0.1293,0.9920,-0.0093,0.0973,1.0093,-0.0440,-0.0147,0.9973
0.0176,0.0000,0.0000,-0.2020,0.0470,-0.0160,0.0070,0.0190,1.0020,0.9920,-0.1053,-0.0613,0.9920,0.0667,-0.0893,-0.0440,0.1293,0.9920,-0.0093,0.0960,1.0093,-0.0440,-0.0147,0.9973
