Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.8701,-0.0507,-4.5181,-5.2385,-61.7868,76.1644,59.9996,98.3421,-243.4527,-63.1461,-236.3477,-345.6193,4296.7423,3690.4212,4562.7276,3681.5618,301.9314,312.8300,-479.2318,-428.5387,26.5823,-4.8881,28.1477,3.0713,-13.6421,-13.2966,27.6466,20.6117
0.0020,-0.8292,-0.0754,-4.5209,-5.3261,-61.6381,76.0554,59.7779,98.4231,-248.4445,-64.6647,-236.9064,-344.1507,4292.7030,3690.4913,4564.0257,3684.6750,300.0257,312.4098,-479.5515,-428.4221,26.7534,-4.8866,28.3470,3.0114,-14.2300,-13.4335,27.7125,20.7350
0.0039,-0.8285,-0.0878,-4.5007,-5.3204,-62.1845,75.9866,59.1293,98.2911,-248.3913,-63.6730,-237.9290,-342.9843,4292.5631,3691.3447,4562.6290,3684.4097,299.9011,312.7934,-479.8187,-428.0720,26.8982,-4.8650,28.4092,3.0154,-14.0844,-13.4397,27.4539,20.7039
0.0059,-0.8456,-0.0838,-4.5186,-5.3130,-60.5151,76.2734,61.5161,98.5757,-248.8035,-64.4845,-235.2373,-343.2881,4293.4335,3690.9593,4563.3001,3684.0616,299.9710,312.4864,-478.9921,-428.1532,26.3583,-4.9422,27.9471,2.9723,-14.4277,-13.4384,28.1073,20.7972
0.0078,-0.8010,-0.0468,-4.5475,-5.3764,-60.1244,75.9614,61.1350,98.8107,-252.3475,-65.2592,-240.1827,-343.9759,4288.8408,3688.8065,4566.9677,3686.8577,298.4566,312.0653,-480.7803,-428.5911,26.2937,-4.9272,28.0184,2.8975,-14.6681,-13.4519,27.6874,20.8536
0.0098,-0.7945,-0.0214,-4.5606,-5.3830,-59.6337,75.7801,60.5410,98.9231,-255.8759,-63.7672,-245.2272,-343.1916,4287.5777,3687.9681,4568.5243,3687.2005,297.1339,312.4685,-482.5922,-428.3437,26.2541,-4.9016,27.9720,2.8690,-14.8687,-13.4685,27.2379,20.8205
0.0117,-0.7734,0.0094,-4.5646,-5.3921,-60.3771,75.5683,59.8548,98.8163,-254.0923,-63.7032,-248.3679,-344.3868,4285.7088,3686.7745,4569.8026,3688.0346,297.4902,312.3546,-483.5420,-428.7658,26.2808,-4.8596,28.0645,2.8562,-14.4182,-13.3839,26.7415,20.7840
0.0137,-0.7583,0.0125,-4.5778,-5.4268,-60.1064,75.5502,60.4230,98.8656,-254.6680,-65.0875,-247.4635,-345.0022,4284.2532,3686.0073,4571.2730,3689.4182,297.2752,311.8739,-483.3132,-429.0794,26.2068,-4.8662,28.0490,2.8323,-14.5822,-13.4214,26.9381,20.8359
0.0156,-0.7690,-0.0012,-4.5954,-5.4415,-58.5483,75.8552,61.2114,99.1090,-259.5045,-64.9545,-247.4330,-343.4813,4284.6633,3686.3652,4571.9788,3689.3356,295.8524,312.0015,-483.4876,-428.5641,25.9736,-4.9146,27.8992,2.7937,-15.2758,-13.4829,27.3103,20.9249
0.0176,-0.8154,0.0306,-4.6309,-5.3969,-56.8886,76.0696,64.0573,99.4584,-258.8935,-64.7003,-243.8348,-344.7244,4287.6184,3684.8769,4573.9154,3687.7611,296.5089,311.9300,-482.5867,-428.7892,25.4411,-4.9701,27.3144,2.7690,-15.6213,-13.5186,28.1221,20.9142
0.0195,-0.7796,0.0286,-4.6231,-5.4370,-58.2130,75.9207,63.3497,99.2327,-256.1744,-66.5132,-242.8719,-346.0685,4285.0383,3684.4756,4574.2923,3689.5983,297.2033,311.3227,-482.0998,-429.3734,25.6642,-4.9443,27.6317,2.7578,-15.2293,-13.4724,27.9645,20.9549
0.0215,-0.7643,0.0318,-4.6207,-5.4542,-58.8277,75.8205,63.4740,99.0703,-253.9308,-67.7158,-241.3490,-347.2182,4283.8603,3684.0380,4574.6596,3690.6070,297.8698,310.8918,-481.5067,-429.8312,25.7241,-4.9323,27.7107,2.7532,-15.0096,-13.4560,28.0165,20.9744
0.0234,-0.7829,0.0216,-4.6087,-5.4288,-58.6560,75.8128,63.7735,98.9533,-253.3670,-66.9379,-240.1522,-346.5106,4285.3286,3684.7973,4573.2770,3689.6711,298.1193,311.1924,-481.0841,-429.5462,25.7141,-4.9299,27.5545,2.7697,-15.0164,-13.4982,28.0975,20.9289
0.0254,-0.7239,-0.0107,-4.5746,-5.4957,-60.9398,75.4715,60.9582,98.5378,-252.8021,-68.3937,-241.9574,-346.1038,4281.3253,3685.8008,4571.8854,3692.2332,297.8230,310.8311,-481.3665,-429.6847,26.3735,-4.8619,28.2769,2.7900,-14.5741,-13.4689,27.4282,20.9657
0.0273,-0.6626,-0.0301,-4.5567,-5.5702,-62.5544,75.1489,57.8817,98.3371,-255.4893,-69.1348,-246.7687,-345.1382,4276.6874,3686.3018,4571.6950,3694.9382,296.4043,310.6752,-482.8083,-429.6358,26.9694,-4.8038,28.9795,2.7831,-14.4315,-13.4667,26.6025,21.0087
0.0293,-0.7268,-0.0296,-4.5660,-5.4988,-60.5056,75.3438,58.8427,98.6981,-260.3608,-65.5782,-247.9741,-342.4047,4281.0895,3687.1457,4570.6466,3691.6832,295.1203,311.8828,-483.5604,-428.5094,26.7023,-4.8422,28.4643,2.7855,-15.1321,-13.6090,26.8692,20.9111
0.0312,-0.7297,-0.0593,-4.5389,-5.4902,-61.1963,75.3161,57.3782,98.6092,-261.4651,-64.3004,-248.9006,-340.4601,4281.6510,3688.8466,4568.1272,3690.9666,294.6633,312.4490,-483.8168,-427.9077,27.0205,-4.8247,28.6732,2.8041,-15.0697,-13.6549,26.5835,20.8636
0.0332,-0.7284,-0.0269,-4.5743,-5.5024,-60.2713,75.3282,57.9183,99.0480,-264.1138,-64.3188,-250.5589,-341.2410,4280.8090,3687.1697,4570.9726,3691.4347,293.8646,312.2885,-484.6305,-428.1900,26.8150,-4.8529,28.5746,2.7472,-15.4151,-13.6634,26.7089,20.9001
0.0352,-0.6602,-0.0297,-4.5720,-5.5888,-61.8442,75.0929,55.4376,98.9356,-265.8265,-66.1688,-254.2279,-341.8460,4275.5054,3686.6235,4572.3947,3694.7596,292.8529,311.6767,-485.7617,-428.6844,27.2887,-4.8106,29.2549,2.7166,-15.2267,-13.6137,26.0635,20.9817
0.0371,-0.6330,-0.0396,-4.5692,-5.6298,-62.4167,75.0602,53.9739,98.8684,-268.4835,-66.5047,-256.3590,-341.3181,4273.3311,3686.7718,4572.8137,3696.0961,291.8051,311.6055,-486.4906,-428.6371,27.5900,-4.7910,29.6080,2.7066,-15.3409,-13.6234,25.7419,21.0192
0.0391,-0.6162,-0.0294,-4.5832,-5.6611,-62.4323,75.1486,54.3350,98.8888,-268.8472,-67.8568,-255.7987,-342.3816,4271.7697,3685.7867,4574.4987,3697.3555,291.6866,311.0806,-486.3447,-429.0787,27.5646,-4.7996,29.6606,2.6804,-15.4180,-13.6141,25.8771,21.0835
0.0410,-0.6352,-0.0442,-4.5562,-5.6220,-63.4785,75.2993,54.5394,98.5149,-264.3223,-67.7353,-252.6531,-342.7479,4274.0280,3686.7937,4572.1752,3695.9072,293.2986,311.1656,-485.0926,-429.0979,27.6729,-4.7824,29.6467,2.7389,-14.8929,-13.5645,26.0025,21.0303
0.0430,-0.6357,-0.0724,-4.5208,-5.6042,-64.5640,75.3511,53.0151,98.1369,-263.9205,-66.7058,-254.2705,-341.3728,4274.8635,3688.7229,4569.2029,3694.9754,293.3025,311.6673,-485.4048,-428.5925,27.9820,-4.7482,29.8701,2.7921,-14.5193,-13.5352,25.5787,20.9825
0.0449,-0.6448,-0.1181,-4.5216,-5.6165,-62.9786,75.8445,53.3775,98.3005,-269.3163,-67.0782,-253.9187,-339.1978,4276.0087,3690.7144,4567.7844,3694.4542,291.6936,311.7917,-485.2954,-427.8242,27.7954,-4.8289,29.8244,2.7886,-15.1953,-13.5737,25.9803,21.1225
0.0469,-0.7081,-0.0436,-4.5572,-5.5117,-62.0758,75.8460,56.0442,98.6362,-263.5536,-65.2262,-251.9849,-342.3572,4280.5349,3688.1100,4569.9594,3691.2772,294.0337,312.0557,-484.8774,-428.4576,27.2425,-4.8500,29.1283,2.7982,-14.8495,-13.5232,26.3874,20.9546
0.0488,-0.7202,-0.0515,-4.5428,-5.4907,-62.1452,75.9390,55.6908,98.6211,-263.9844,-63.6451,-253.1038,-341.1582,4281.3408,3688.9351,4568.7120,3690.3529,293.8779,312.6238,-485.2263,-428.0047,27.3123,-4.8453,29.0637,2.7859,-14.8302,-13.5673,26.1896,20.8904
0.0508,-0.7309,-0.0585,-4.5507,-5.4809,-61.4446,76.3495,56.4518,98.8489,-264.5568,-64.2117,-252.3193,-341.4192,4282.3976,3689.2037,4568.5218,3689.6085,293.8745,312.4556,-484.8915,-427.9764,27.0804,-4.9084,28.9855,2.7740,-14.9673,-13.4935,26.5269,20.9713
0.0527,-0.7207,-0.0993,-4.5361,-5.5138,-61.2894,76.5599,57.5825,98.8327,-263.7252,-66.6376,-247.2705,-341.3074,4281.8813,3690.2278,4567.2263,3690.6532,294.2033,311.7985,-483.0928,-428.1122,27.0393,-4.9578,28.9393,2.7625,-15.1481,-13.5496,27.0871,21.0729
0.0547,-0.6758,-0.0936,-4.5264,-5.5587,-62.7882,76.2277,56.0896,98.6797,-262.3429,-67.7107,-249.6248,-342.1581,4278.4768,3689.6590,4567.8764,3692.7131,294.2940,311.4149,-483.7086,-428.5770,27.3578,-4.9116,29.3405,2.7564,-14.7431,-13.4805,26.5255,21.0804
0.0566,-0.7083,-0.0521,-4.5329,-5.4882,-63.0261,76.1003,56.6547,98.7301,-258.2367,-66.0682,-250.3727,-343.6335,4281.0841,3688.6208,4568.1178,3690.5836,295.7633,311.7877,-483.9580,-428.8275,27.1750,-4.9009,29.0995,2.7896,-14.2394,-13.3589,26.4095,20.9588
0.0586,-0.7640,0.0711,-4.5791,-5.3603,-62.9419,75.7008,58.0456,99.0679,-250.4481,-62.9521,-253.3859,-348.0939,4285.0450,3684.4478,4571.6981,3687.1117,298.5614,312.2827,-485.1506,-429.7797,26.6622,-4.8648,28.5595,2.8235,-13.3459,-13.1331,26.1149,20.7137
0.0605,-0.8043,0.1182,-4.6154,-5.3211,-61.1098,75.5670,60.8684,99.4819,-250.3676,-61.9545,-251.6719,-348.9816,4287.0123,3682.3707,4574.2992,3686.2114,298.8431,312.3976,-485.0057,-429.9941,26.1343,-4.8898,27.8322,2.7846,-13.7412,-13.2585,26.6504,20.6351
0.0625,-0.7764,0.1690,-4.6364,-5.3442,-61.7243,75.1046,60.6153,99.5745,-248.0495,-62.4356,-253.8740,-351.2806,4284.2062,3679.8528,4577.3433,3687.9745,299.3610,312.0158,-485.8315,-430.8321,26.1628,-4.8442,27.8760,2.7480,-13.4274,-13.2536,26.2447,20.5769
0.0645,-0.7928,0.1825,-4.6312,-5.3002,-62.2657,75.1051,60.5330,99.4754,-243.9740,-61.8523,-253.1488,-352.4581,4285.9417,3679.7404,4576.5617,3686.5949,300.7816,312.1635,-485.4782,-431.0219,26.1433,-4.8349,27.8528,2.7881,-12.9622,-13.1671,26.1604,20.5043
0.0664,-0.7668,0.1496,-4.6256,-5.3645,-61.8317,75.1804,61.2670,99.3978,-245.9350,-64.0546,-250.0802,-351.7332,4283.4234,3680.2901,4576.4875,3689.0012,300.0377,311.5679,-484.4915,-431.0885,26.1634,-4.8605,27.8048,2.7382,-13.4141,-13.3292,26.5150,20.5917
